Name;DepartmentId
Supía;1131
Victoria;1131
Villamaría;1131
Viterbo;1131
Florencia;1132
Albania;1132
Belén De Los Andaquíes;1132
Cartagena Del Chairá;1132
Curillo;1132
El Doncello;1132
El Paujíl;1132
La Montañita;1132
Milán;1132
Morelia;1132
Puerto Rico;1132
San José Del Fragua;1132
San Vicente Del Caguán;1132
Solano;1132
Solita;1132
Valparaíso;1132
Popayán;1134
Almaguer;1134
Argelia;1134
Balboa;1134
Bolívar;1134
Buenos Aires;1134
Cajibío;1134
Caldono;1134
Caloto;1134
Corinto;1134
El Tambo;1134
Florencia;1134
Guachené;1134
Guapi;1134
Inzá;1134
Jambaló;1134
La Sierra;1134
La Vega;1134
López De Micay;1134
Mercaderes;1134
Miranda;1134
Morales;1134
Padilla;1134
Páez;1134
Patía;1134
Piamonte;1134
Piendamó;1134
Puerto Tejada;1134
Puracé;1134
Rosas;1134
San Sebastián;1134
Santander De Quilichao;1134
Santa Rosa;1134
Silvia;1134
Sotará Paispamba;1134
Suárez;1134
Sucre;1134
Timbío;1134
Timbiquí;1134
Toribío;1134
Totoró;1134
Villa Rica;1134
Valledupar;1135
Aguachica;1135
Agustín Codazzi;1135
Astrea;1135
Becerril;1135
Bosconia;1135
Chimichagua;1135
Chiriguaná;1135
Curumaní;1135
El Copey;1135
El Paso;1135
Gamarra;1135
González;1135
La Gloria;1135
La Jagua De Ibirico;1135
Manaure Balcón Del Cesar;1135
Pailitas;1135
Pelaya;1135
Pueblo Bello;1135
Río De Oro;1135
La Paz;1135
San Alberto;1135
San Diego;1135
San Martín;1135
Tamalameque;1135
Montería;1137
Ayapel;1137
Buenavista;1137
Canalete;1137
Cereté;1137
Chimá;1137
Chinú;1137
Ciénaga De Oro;1137
Cotorra;1137
La Apartada;1137
Lorica;1137
Los Córdobas;1137
Momil;1137
Montelíbano;1137
Moñitos;1137
Planeta Rica;1137
Pueblo Nuevo;1137
Puerto Escondido;1137
Puerto Libertador;1137
Purísima De La Concepción;1137
Sahagún;1137
San Andrés De Sotavento;1137
San Antero;1137
San Bernardo Del Viento;1137
San Carlos;1137
San José De Uré;1137
San Pelayo;1137
Tierralta;1137
Tuchín;1137
Valencia;1137
Agua De Dios;1138
Albán;1138
Anapoima;1138
Anolaima;1138
Arbeláez;1138
Beltrán;1138
Bituima;1138
Bojacá;1138
Cabrera;1138
Cachipay;1138
Cajicá;1138
Caparrapí;1138
Cáqueza;1138
Carmen De Carupa;1138
Chaguaní;1138
Chía;1138
Chipaque;1138
Choachí;1138
Chocontá;1138
Cogua;1138
Cota;1138
Cucunubá;1138
El Colegio;1138
El Peñón;1138
El Rosal;1138
Facatativá;1138
Fómeque;1138
Fosca;1138
Funza;1138
Fúquene;1138
Fusagasugá;1138
Gachalá;1138
Gachancipá;1138
Gachetá;1138
Gama;1138
Girardot;1138
Granada;1138
Guachetá;1138
Guaduas;1138
Guasca;1138
Guataquí;1138
Guatavita;1138
Guayabal De Síquima;1138
Guayabetal;1138
Gutiérrez;1138
Jerusalén;1138
Junín;1138
La Calera;1138
La Mesa;1138
La Palma;1138
La Peña;1138
La Vega;1138
Lenguazaque;1138
Machetá;1138
Madrid;1138
Manta;1138
Medina;1138
Mosquera;1138
Nariño;1138
Nemocón;1138
Nilo;1138
Nimaima;1138
Nocaima;1138
Venecia;1138
Pacho;1138
Paime;1138
Pandi;1138
Paratebueno;1138
Pasca;1138
Puerto Salgar;1138
Pulí;1138
Quebradanegra;1138
Quetame;1138
Quipile;1138
Apulo;1138
Ricaurte;1138
San Antonio Del Tequendama;1138
San Bernardo;1138
San Cayetano;1138
San Francisco;1138
San Juan De Rioseco;1138
Sasaima;1138
Sesquilé;1138
Sibaté;1138
Silvania;1138
Simijaca;1138
Soacha;1138
Sopó;1138
Subachoque;1138
Suesca;1138
Supatá;1138
Susa;1138
Sutatausa;1138
Tabio;1138
Tausa;1138
Tena;1138
Tenjo;1138
Tibacuy;1138
Tibirita;1138
Tocaima;1138
Tocancipá;1138
Topaipí;1138
Ubalá;1138
Ubaque;1138
Villa De San Diego De Ubaté;1138
Une;1138
Útica;1138
Vergara;1138
Vianí;1138
Villagómez;1138
Villapinzón;1138
Villeta;1138
Viotá;1138
Yacopí;1138
Zipacón;1138
Zipaquirá;1138
Quibdó;1136
Acandí;1136
Alto Baudó;1136
Atrato;1136
Bagadó;1136
Bahía Solano;1136
Bajo Baudó;1136
Bojayá;1136
El Cantón Del San Pablo;1136
Carmen Del Darién;1136
Cértegui;1136
Condoto;1136
El Carmen De Atrato;1136
El Litoral Del San Juan;1136
Istmina;1136
Juradó;1136
Lloró;1136
Medio Atrato;1136
Medio Baudó;1136
Medio San Juan;1136
Nóvita;1136
Nuevo Belén De Bajirá *;1136
Nuquí;1136
Río Iró;1136
Río Quito;1136
Riosucio;1136
San José Del Palmar;1136
Sipí;1136
Tadó;1136
Unguía;1136
Unión Panamericana;1136
Neiva;1141
Acevedo;1141
Agrado;1141
Aipe;1141
Algeciras;1141
Altamira;1141
Baraya;1141
Campoalegre;1141
Colombia;1141
Elías;1141
Garzón;1141
Gigante;1141
Guadalupe;1141
Hobo;1141
Íquira;1141
Isnos;1141
La Argentina;1141
La Plata;1141
Nátaga;1141
Oporapa;1141
Paicol;1141
Palermo;1141
Palestina;1141
Pital;1141
Pitalito;1141
Rivera;1141
Saladoblanco;1141
San Agustín;1141
Santa María;1141
Suaza;1141
Tarqui;1141
Tesalia;1141
Tello;1141
Teruel;1141
Timaná;1141
Villavieja;1141
Yaguará;1141
Riohacha;1142
Albania;1142
Barrancas;1142
Dibulla;1142
Distracción;1142
El Molino;1142
Fonseca;1142
Hatonuevo;1142
La Jagua Del Pilar;1142
Maicao;1142
Manaure;1142
San Juan Del Cesar;1142
Uribia;1142
Urumita;1142
Villanueva;1142
Santa Marta;1143
Algarrobo;1143
Aracataca;1143
Ariguaní;1143
Cerro De San Antonio;1143
Chivolo;1143
Ciénaga;1143
Concordia;1143
El Banco;1143
El Piñón;1143
El Retén;1143
Fundación;1143
Guamal;1143
Nueva Granada;1143
Pedraza;1143
Pijiño Del Carmen;1143
Pivijay;1143
Plato;1143
Puebloviejo;1143
Remolino;1143
Sabanas De San Ángel;1143
Salamina;1143
San Sebastián De Buenavista;1143
San Zenón;1143
Santa Ana;1143
Santa Bárbara De Pinto;1143
Sitionuevo;1143
Tenerife;1143
Zapayán;1143
Zona Bananera;1143
Villavicencio;1144
Acacías;1144
Barranca De Upía;1144
Cabuyaro;1144
Castilla La Nueva;1144
Cubarral;1144
Cumaral;1144
El Calvario;1144
El Castillo;1144
El Dorado;1144
Fuente De Oro;1144
Granada;1144
Guamal;1144
Mapiripán;1144
Mesetas;1144
La Macarena;1144
Uribe;1144
Lejanías;1144
Puerto Concordia;1144
